taxonomy_id	name
1725	Corynebacterium xerosis
1793	Mycolicibacterium fallax
212767	Mycobacterium sp. JS623
1653478	Rhodococcus sp. PBTS 1
334542	Rhodococcus qingshengii
2074	Pseudonocardia autotrophica
2865833	Pseudonocardia sp. DSM 110487
1861	Geodermatophilus obscurus
28025	Bifidobacterium animalis
1283	Staphylococcus haemolyticus
170573	Staphylococcus pettenkoferi
246432	Staphylococcus equorum
153151	Parageobacillus toebii
1639	Listeria monocytogenes
1379	Gemella haemolysans
712633	Streptococcus sp. oral taxon 431
1759399	Streptococcus sp. A12
2598453	Streptococcus sp. 116-D4
1252	Leuconostoc carnosum
1245	Leuconostoc mesenteroides
1244	Leuconostoc gelidum
1599	Latilactobacillus sakei
47715	Lacticaseibacillus rhamnosus
1296540	Paucilactobacillus nenjiangensis
44008	Enterococcus cecorum
51665	Aerococcus urinaeequi
2763672	Simiaoa sunii
2479767	Blautia sp. SC05B48
33034	Anaerococcus prevotii
1287640	Anaerococcus obesiensis
52022	Meiothermus silvanus
172827	Meiothermus taiwanensis
277	Meiothermus ruber
456163	Thermus parvatiensis
37636	Thermus scotoductus
2080419	Deinococcus sp. NW-56
1177574	Prevotella jejuni
28131	Prevotella intermedia
2057025	Spirosoma pollinicola
712362	Leptotrichia sp. oral taxon 221
27342	Schizopora paradoxa
5207	Cryptococcus neoformans
1734106	Kwoniella shandongensis
82509	Trichosporon coremiiforme
1708541	Wallemia mellicola
70792	Penicillium corylophilum
1612424	Penicillium salamii
182096	Aspergillus chevalieri
1810908	Aspergillus spinulosporus
2723674	Blastomyces emzantsi
1671306	Pseudophaeomoniella oleicola
1928478	Aureobasidium sp. FSWF8-4
70808	Cladosporium tenuissimum
263923	Mycosphaerella populi
364715	Trypethelium eluteriae
5046	Sarocladium strictum
2939547	Sarocladiaceae sp. R1802
1159556	Ustilaginoidea virens
177199	Coniochaeta pulveracea
1455713	Tuber microsphaerosporum
2163413	Metschnikowia aff. pulcherrima
27326	Metschnikowia pulcherrima
4959	Debaryomyces hansenii
4929	Meyerozyma guilliermondii
34358	Kazachstania exigua
4952	Yarrowia lipolytica
13773	Pyrobaculum aerophilum
346	Xanthomonas citri
314722	Pseudoxanthomonas suwonensis
2862945	Pseudomonas sp. ArH3a
2730851	Pseudomonas sp. ADAK22
2605424	Pseudomonas sp. J380
2730847	Pseudomonas sp. ADAK13
294	Pseudomonas fluorescens
75612	Pseudomonas mandelii
78543	Pseudomonas migulae
47885	Pseudomonas oryzihabitans
76759	Pseudomonas monteilii
122355	Pseudomonas psychrophila
2056231	Pseudomonas qingdaonensis
2745514	Pseudomonas salmasensis
1646498	Acinetobacter sp. TTH0-4
2929509	Acinetobacter sp. NyZ410
2725684	Acinetobacter sp. NEB149
29430	Acinetobacter haemolyticus
106649	Acinetobacter guillouiae
2708350	Psychrobacter sp. WY6
548	Klebsiella aerogenes
2153385	Lelliottia sp. WB101
61648	Kluyvera intermedia
29484	Yersinia frederiksenii
472693	Pantoea eucrina
584	Proteus mirabilis
726	Haemophilus haemolyticus
166935	Pseudoalteromonas translucida
1196095	Gilliamella apicola
2718	Cardiobacterium hominis
446	Legionella pneumophila
1537274	Janthinobacterium sp. HH102
164759	Diaphorobacter nitroreducens
179636	Alicycliphilus denitrificans
2015348	Burkholderia aenigmatica
871203	Caballeronia zhejiangensis
391953	Aquincola tertiaricarbonis
1196083	Snodgrassella alvi
83627	Bradyrhizobium genosp. B
2748629	Bradyrhizobium quebecense
340268	Rhodopseudomonas sp. SK50-23
270351	Methylobacterium aquaticum
2815360	Rhizobium sp. X9
384	Rhizobium leguminosarum
2219696	Sphingomonas sp. FARSPH
1517554	Sphingomonas sp. HMP9
1523415	Sphingomonas sp. AAP5
1549858	Sphingomonas taxi
1813879	Sphingomonas panacisoli
424800	Sphingomonas insulae
1827469	Brevundimonas sp. GW460-12-10-14-LB2
78587	Asticcacaulis excentricus
265959	Komagataeibacter saccharivorans
203	Campylobacter rectus
566027	Micrococcus yunnanensis
37928	Arthrobacter crystallopoietes
36805	Microbacterium aurum
2509458	Microbacterium protaetiae
2609252	Rathayibacter sp. VKM Ac-2759
2596916	Frigoribacterium sp. NBH87
199591	Brevibacterium luteolum
2283195	Ornithinimicrobium avium
53374	Corynebacterium coyleae
36808	Corynebacterium bovis
2675219	Corynebacterium occultum
156978	Corynebacterium imitans
43769	Corynebacterium propinquum
546160	Dietzia lutea
1794	Mycolicibacterium gadium
1774	Mycobacteroides chelonae
2054	Gordonia bronchialis
1528099	Lawsonella clevelandensis
1852	Saccharomonospora viridis
138336	Blastococcus saxobsidens
47850	Micromonospora aurantiaca
712411	Olsenella sp. oral taxon 807
2025492	Staphylococcus sp. M0911
61015	Staphylococcus succinus
1817405	Abyssicoccus albus
946435	Jeotgalicoccus sp. ATCC 8456
2660554	Paenibacillus sp. B01
2892541	Lysinibacillus sp. CD3-6
294699	Anoxybacillus amylolyticus
2756	Brochothrix thermosphacta
84135	Gemella sanguinis
360911	Exiguobacterium sp. AT1b
2759692	Streptococcus sp. Marseille-Q3533
1433513	Streptococcus gwangjuense
102684	Streptococcus infantarius
257758	Streptococcus pseudopneumoniae
1584	Lactobacillus delbrueckii
1587	Lactobacillus helveticus
1590	Lactiplantibacillus plantarum
1160721	Ruminococcus bicirculans
114527	Mogibacterium diversum
2682455	Veillonella sp. S12025-13
2483360	Thermus caldilimi
317577	Deinococcus ficus
28137	Prevotella veroralis
28124	Porphyromonas endodontalis
837	Porphyromonas gingivalis
322095	Porphyromonas somerae
343874	Empedobacter falsenii
28454	Sphingobacterium multivorum
566460	Alternaria viburni
749835	Nothophoma quercina
58128	Helminthosporium solani
2894516	Lasiodiplodia sp. KE8368
2756246	Melanodothis sp. VS III C KN 2
2562440	Cladosporiaceae sp. IMV 00045
2929575	Cercospora sp. J1 LZ-2022
2940397	Aspergillus sp. F3601
1491479	Trichoderma simmonsii
2714763	Akanthomyces lecanii
1385972	Sporothrix brunneoviolacea
203535	Pseudozyma thailandica
1928479	Rhodotorula sp. FNED7-22
2778097	Mrakiaceae sp. VS III B KN 2
29902	Mrakia frigida
5412	Cystofilobasidium capitatum
615	Serratia marcescens
61646	Lelliottia amnigena
1390395	Sphingomonas sp. LK11
2082188	Sphingobium sp. YG1
1315974	Sphingobium sp. TKS
121428	Sphingobium xenophagum
33050	Sphingopyxis macrogoltabida
1842539	Bosea sp. RAC05
1867715	Bosea sp. Tri-49
121719	Pannonibacter phragmitetus
169176	Caenibius tardaugens
1312364	Brevundimonas albigilva
588932	Brevundimonas naejangsanensis
69665	Caulobacter sp. FWC26
155892	Caulobacter vibrioides
1842533	Acidovorax sp. RAC01
363952	Comamonas thiooxydans
82541	Cupriavidus gilardii
1758194	Achromobacter sp. AONIH1
2811415	Niveibacterium microcysteis
980427	Deinococcus wulumuqiensis
1385715	Hymenobacter qilianensis
2899117	Pleurotus ostreatus/Saccharomyces cerevisiae fusant
1904944	Stenotrophomonas sp. LM091
2871174	Stenotrophomonas sp. DR822
2508168	Luteimonas sp. YGD11-2
2051553	Methylobacterium currus
33051	Sphingomonas sanguinis
1744	Propionibacterium freudenreichii
82380	Microbacterium oxydans
857417	Janibacter indicus
84595	Gordonia polyisoprenivorans
2770322	Stenotrophomonas sp. 169
2691571	Stenotrophomonas sp. 364
2682487	Stenotrophomonas sp. SXG-1
2290922	Lysobacter sp. TY2-98
1758730	Pseudomonas sp. BIOMIG1BAC
2866808	Pseudomonas sp. MM211
1028989	Pseudomonas sp. StFLB209
1173273	Pseudomonas sp. R2-37-08W
76758	Pseudomonas orientalis
321846	Pseudomonas simiae
244566	Pseudomonas lurida
158627	Pseudomonas graminis
2745510	Pseudomonas zeae
470934	Pantoea vagans
1805933	Rahnella sp. ERMR1:05
471	Acinetobacter calcoaceticus
70346	Acinetobacter variabilis
1148157	Acinetobacter oleivorans
735	Haemophilus parahaemolyticus
28099	Agrobacterium rubi
2735528	Agrobacterium vaccinii
1335043	Paradevosia shaoguanensis
2319844	Sphingomonas paeninsulae
1332080	Sphingobium baderi
1529068	Paracoccus tegillarcae
2861285	Brevundimonas sp. PAMC22021
2769491	Massilia sp. LPB0304
2728020	Massilia forsythiae
321984	Pseudoduganella plicata
216465	Polaromonas naphthalenivorans
168471	Laribacter hongkongensis
1547448	Arachnia rubra
2917724	Nocardioides sp. TF02-7
2895565	Nocardioides sp. B-3
1909395	Nonomuraea sp. ATCC 55076
93944	Nonomuraea gerenzanensis
2656914	Nonomuraea nitratireducens
404386	Nonomuraea coxensis
2001	Streptosporangium roseum
2006	Thermobispora bispora
2480625	Plantibacter sp. PA-3-X8
2583822	Plantibacter sp. M259
273678	Microbacterium hydrocarbonoxydans
1072463	Microbacterium lemovicicum
28447	Clavibacter michiganensis
2768071	Clavibacter zhangzhiyongii
2035	Curtobacterium flaccumfaciens
110937	Rathayibacter festucae
85336	Rothia nasimurium
1933880	Glutamicibacter halophytocola
2567881	Citricoccus sp. SGAir0253
60920	Sanguibacter keddieii
2795215	Brachybacterium halotolerans
43669	Brachybacterium faecium
2973977	Cellulomonas sp. NS3
2509457	Xylanimonas protaetiae
146827	Corynebacterium simulans
349751	Corynebacterium marinum
1764	Mycobacterium avium
2024580	Plantactinospora sp. KBS50
2071627	Plantactinospora sp. BB1
47875	Micromonospora sagamiensis
338584	Polymorphospora rubra
2056258	Streptomyces sp. AMCC400023
2722752	Iamia sp. SCSIO 61187
2583377	Saccharibacillus brassicae
81408	Parageobacillus caldoxylosilyticus
33940	Geobacillus thermodenitrificans
213419	Geobacillus zalihae
2829816	Exiguobacterium sp. PFWT01
76860	Streptococcus constellatus
1310	Streptococcus sobrinus
1596	Lactobacillus gasseri
1604	Lactobacillus amylovorus
1579	Lactobacillus acidophilus
88431	Dorea longicatena
301301	Roseburia hominis
39488	Anaerobutyricum hallii
2831966	Ruminococcus sp. FMBCY1
2086584	Massilistercora timonensis
46354	Thermoanaerobacter wiegelii
39778	Veillonella dispar
907	Megasphaera elsdenii
2652443	Deinococcus sp. AJ005
28127	Prevotella buccalis
712471	Prevotella sp. oral taxon 475
2606626	Sodaliphilus pleomorphus
712710	Tannerella serpentiformis
2932250	Hymenobacter sp. 5317J-9
1446467	Hymenobacter swuensis
1705399	Hymenobacter monticola
536441	Chryseobacterium taklimakanense
76777	Malassezia sympodialis
40483	Fomitopsis pinicola
