taxonomy_id	name
2908840	Planococcus sp. 107-1
37734	Enterococcus casseliflavus
2871820	Shinella oryzae
2053287	Acinetobacter pseudolwoffii
1134435	Thauera humireducens
28135	Prevotella oris
837	Porphyromonas gingivalis
36651	Penicillium digitatum
4929	Meyerozyma guilliermondii
424800	Sphingomonas insulae
244366	Klebsiella variicola
2883106	Halomonas sp. NyZ770
2855441	Halomonas sp. 18071143
115561	Halomonas hydrothermalis
726	Haemophilus haemolyticus
1249	Weissella paramesenteroides
1241979	Kaistella carnis
1736306	Aeromicrobium sp. Leaf245
2502791	Salicibibacter halophilus
1596	Lactobacillus gasseri
1737424	Blautia massiliensis
33043	Coprococcus eutactus
649756	Anaerostipes hadrus
274	Thermus thermophilus
1173026	Gloeocapsa sp. PCC 7428
95301	Pseudomonas multiresinivorans
2697023	Pseudomonas sp. AN-B15
485898	Pseudomonas promysalinigenes
2493633	Pseudomonas hydrolytica
29494	Vibrio furnissii
47678	Bacteroides caccae
239935	Akkermansia muciniphila
2562441	Byssochlamys sp. IMV 00236
47278	Trichothecium roseum
38033	Chaetomium globosum
82522	Cutaneotrichosporon mucoides
2567881	Citricoccus sp. SGAir0253
29394	Dolosigranulum pigrum
2785907	Erythrobacter sp. A30-3
47878	Pseudomonas azotoformans
2866278	Pseudomonas sp. S07E 245
2018067	Pseudomonas sp. FDAARGOS_380
321846	Pseudomonas simiae
1904944	Stenotrophomonas sp. LM091
2079596	Acinetobacter sp. SWBY1
